region,date,t,rate,rate_hat,cum,cum_hat_fit,cum_hat_pred,error,mse,quality,drift,Historic,Forecast
Predict,2018-03-01T00:00:00Z,3256,46.25,14.266331457711557,144752,108589.97111103855,108769.56806625222,-35982.43193374778,214961586.54927975,0.9069345377862746,0.7715986735510507,,
Predict,2018-04-01T00:00:00Z,3287,41,14.139239710705455,146023,109030.2545262022,109209.85148141584,-36813.14851858416,228067866.05849877,0.9041393965108576,0.7663256344682805,,
Predict,2018-05-01T00:00:00Z,3317,41.666666666666664,14.01732580428728,147273,109452.6003695649,109632.19732477856,-37640.80267522145,241576526.96732217,0.9013412801644564,0.7610720343901922,,
Predict,2018-06-01T00:00:00Z,3348,28,13.892452326469854,148141,109885.19904392392,110064.79599913758,-38076.20400086242,255152041.39595103,0.8986070794200823,0.7583082901136206,,
Predict,2018-07-01T00:00:00Z,3378,25.433333333333337,13.77266631480999,148904,110300.17323024856,110479.7701854622,-38424.229814537786,268721701.345334,0.8959458323727452,0.7560991687949645,,
Predict,2018-08-01T00:00:00Z,3409,35.193548387096776,13.649972388339137,149995,110725.2212938638,110904.81824907743,-39090.18175092255,282560389.3450573,0.8933001646176696,0.7518719863215402,,
Predict,2018-09-01T00:00:00Z,3440,25.451612903225808,13.528371481857928,150784,111146.48281283534,111326.079768049,-39457.92023195101,296412205.42860025,0.8907161087158302,0.749537737291128,,
Predict,2018-10-01T00:00:00Z,3470,27.266666666666666,13.411724713815602,151602,111550.5817304386,111730.17868565224,-39871.82131434775,310319193.9177903,0.8881818176188281,0.7469104675053577,,
Predict,2018-11-01T00:00:00Z,3501,41.25806451612903,13.29224623896758,152881,111964.49051825392,112144.08747346756,-40736.912526532426,324672139.11222184,0.8856251281637382,0.7414192327626334,,
Predict,2018-12-01T00:00:00Z,3531,38.766666666666666,13.17763543264269,154044,112361.53626207358,112541.13321728724,-41502.866782712765,339385989.76560485,0.88306216087356,0.736557277672079,,
Predict,2019-01-01T00:00:00Z,3562,74.61290322580645,13.06024234434186,156357,112768.22065387137,112947.81760908502,-43409.18239091498,355479438.99562687,0.8803217163234834,0.7244567889017424,,
Predict,2019-02-01T00:00:00Z,3593,21.451612903225808,12.943895053464338,157022,113171.28209396733,113350.87904918096,-43671.12095081904,371476215.9657861,0.8776585521884017,0.7227941132204441,,
Predict,2019-03-01T00:00:00Z,3621,42.75,12.8396983119404,158219,113532.25043603344,113711.84739124708,-44507.15260875292,387898771.2451027,0.8749835071753413,0.7174873362917196,,
Predict,2019-04-01T00:00:00Z,3652,35.16129032258065,12.72531573963491,159309,113928.50550968068,114108.10246489434,-45200.89753510566,404618189.0909009,0.8723176667723735,0.7130837356210382,,
Predict,2019-05-01T00:00:00Z,3682,31.1,12.615593223858554,160242,114308.61676870711,114488.21372392077,-45753.786276079234,421506096.7859633,0.8696803095807051,0.7095742307034838,,
Predict,2019-06-01T00:00:00Z,3713,45.74193548387097,12.50320709382287,161660,114697.95557563024,114877.5525308439,-46782.447469156104,439002050.1960463,0.867003141261135,0.703044722598031,,
